GSD_m,Num_Satelites,Num_Telescopios,Detectores_Necesarios,Altura_km,Diametro_Pupila_mm,Swath_Requerido_km,Masa_Seca_Satelite_kg,Masa_Combustible_kg,Masa_Total_Constelacion_kg,Tipo_Telescopio
30,2,2,3,520,76,170,26.7336384,2.77927617031597,59.0258291406319,Refractivo
40,2,2,3,520,57,170,11.2782537,1.61227128329013,25.7810499665803,Refractivo
50,2,2,2,520,45,170,5.5495125,1.01672078949893,13.1324665789979,Refractivo
60,2,2,2,520,38,170,3.3417048,0.751107624866675,8.18562484973335,Refractivo
70,2,2,2,520,32,170,1.9955712,0.534159556908933,5.05946151381787,Refractivo
80,2,2,2,520,28,170,1.3368768,0.417061131689019,3.50787586337804,Refractivo
90,2,2,1,520,25,170,0.9515625,0.340369680631555,2.58386436126311,Refractivo
100,2,2,1,520,23,170,0.7409703,0.294114963800931,2.07017052760186,Refractivo
110,2,2,1,520,21,170,0.5639949,0.246592641103782,1.62117508220756,Refractivo
120,2,2,1,520,19,170,0.4177131,0.206961543247283,1.24934928649457,Refractivo
