Altura_km	Dmin_Refractivo_mm	Dmin_Korsch_mm	Dmin_Cassegrain_mm	Dmin_TMA_mm
200.0	NaN	NaN	NaN	NaN
210.0	NaN	NaN	NaN	NaN
220.0	NaN	NaN	NaN	NaN
230.0	NaN	NaN	NaN	NaN
240.0	NaN	NaN	NaN	NaN
250.0	NaN	NaN	NaN	NaN
260.0	NaN	NaN	NaN	NaN
270.0	NaN	NaN	NaN	NaN
280.0	NaN	NaN	NaN	NaN
290.0	NaN	NaN	NaN	NaN
300.0	NaN	NaN	NaN	NaN
310.0	NaN	NaN	NaN	NaN
320.0	NaN	NaN	NaN	NaN
330.0	NaN	NaN	NaN	NaN
340.0	NaN	NaN	NaN	NaN
350.0	NaN	NaN	NaN	NaN
360.0	NaN	NaN	NaN	NaN
370.0	NaN	NaN	NaN	NaN
380.0	NaN	NaN	NaN	NaN
390.0	NaN	NaN	NaN	NaN
400.0	NaN	NaN	NaN	NaN
410.0	NaN	NaN	NaN	NaN
420.0	NaN	NaN	NaN	NaN
430.0	NaN	NaN	NaN	NaN
440.0	NaN	NaN	NaN	NaN
450.0	NaN	NaN	NaN	NaN
460.0	NaN	NaN	NaN	NaN
470.0	NaN	NaN	NaN	NaN
480.0	NaN	NaN	NaN	NaN
490.0	NaN	NaN	NaN	NaN
500.0	NaN	NaN	NaN	NaN
510.0	NaN	NaN	NaN	NaN
520.0	28.0	NaN	NaN	NaN
530.0	NaN	NaN	NaN	NaN
540.0	30.0	NaN	NaN	NaN
550.0	NaN	NaN	NaN	NaN
560.0	NaN	NaN	NaN	NaN
570.0	NaN	NaN	NaN	NaN
580.0	NaN	NaN	NaN	NaN
590.0	32.0	NaN	NaN	NaN
600.0	NaN	NaN	NaN	NaN
610.0	NaN	NaN	NaN	NaN
620.0	NaN	NaN	NaN	NaN
630.0	34.0	NaN	NaN	NaN
640.0	NaN	NaN	NaN	NaN
650.0	NaN	NaN	NaN	NaN
660.0	NaN	NaN	NaN	NaN
670.0	NaN	NaN	NaN	NaN
680.0	37.0	NaN	NaN	NaN
690.0	38.0	NaN	NaN	NaN
700.0	38.0	NaN	NaN	120.0
710.0	NaN	NaN	NaN	NaN
720.0	NaN	NaN	NaN	NaN
730.0	NaN	NaN	NaN	NaN
740.0	40.0	NaN	NaN	NaN
750.0	41.0	NaN	NaN	129.0
760.0	41.0	NaN	NaN	NaN
770.0	42.0	NaN	NaN	132.0
780.0	42.0	NaN	NaN	NaN
790.0	43.0	NaN	NaN	135.0
800.0	NaN	NaN	NaN	NaN
810.0	NaN	NaN	NaN	NaN
820.0	45.0	NaN	NaN	141.0
830.0	NaN	NaN	NaN	NaN
840.0	NaN	NaN	NaN	NaN
850.0	46.0	NaN	NaN	NaN
860.0	47.0	NaN	NaN	147.0
870.0	NaN	NaN	NaN	NaN
880.0	NaN	NaN	NaN	NaN
890.0	NaN	NaN	NaN	NaN
900.0	NaN	NaN	NaN	NaN
910.0	NaN	NaN	NaN	NaN
920.0	50.0	NaN	NaN	158.0
930.0	50.0	NaN	NaN	159.0
940.0	51.0	NaN	NaN	161.0
950.0	52.0	NaN	NaN	163.0
960.0	52.0	NaN	NaN	164.0
970.0	53.0	NaN	NaN	166.0
980.0	53.0	NaN	NaN	NaN
990.0	54.0	NaN	NaN	170.0
1000.0	54.0	NaN	NaN	171.0
