Altura_km,Dmin_Refractivo_mm,Dmin_Korsch_mm,Dmin_Cassegrain_mm,Dmin_TMA_mm
200,20,20,23,58
210,20,20,24,61
220,20,20,26,64
230,20,21,27,66
240,20,22,28,69
250,20,23,29,72
260,20,23,30,75
270,20,24,31,78
280,20,25,32,81
290,20,26,33,84
300,20,27,35,86
310,20,28,36,89
320,20,29,37,92
330,20,30,38,95
340,21,31,39,98
350,21,31,40,101
360,22,32,41,104
370,23,33,43,106
380,23,34,44,109
390,24,35,45,112
400,24,36,46,115
410,25,37,47,118
420,26,38,48,121
430,26,38,49,124
440,27,39,51,127
450,27,40,52,129
460,28,41,53,132
470,29,42,54,135
480,29,43,55,138
490,30,44,56,141
500,30,45,57,144
510,31,46,59,147
520,32,46,60,149
530,32,47,61,152
540,33,48,62,155
550,33,49,63,158
560,34,50,64,161
570,35,51,65,164
580,35,52,66,167
590,36,53,68,169
600,36,53,69,172
610,37,54,70,175
620,38,55,71,178
630,38,56,72,181
640,39,57,73,184
650,39,58,74,187
660,40,59,76,190
670,41,60,77,192
680,41,61,78,195
690,42,61,79,198
700,42,62,80,NaN
710,43,63,81,NaN
720,44,64,82,NaN
730,44,65,84,NaN
740,45,66,85,NaN
750,45,67,86,NaN
760,46,68,87,NaN
770,47,68,88,NaN
780,47,69,89,NaN
790,48,70,90,NaN
800,48,71,92,NaN
810,49,72,93,NaN
820,50,73,94,NaN
830,50,74,95,NaN
840,51,75,96,NaN
850,51,76,97,NaN
860,52,76,98,NaN
870,52,77,99,NaN
880,53,78,101,NaN
890,54,79,102,NaN
900,54,80,103,NaN
910,55,81,104,NaN
920,55,82,105,NaN
930,56,83,106,NaN
940,57,83,107,NaN
950,57,84,109,NaN
960,58,85,110,NaN
970,58,86,111,NaN
980,59,87,112,NaN
990,60,88,113,NaN
1000,60,89,114,NaN
