MissionDay,Case,EccentricityVectorX,EccentricityVectorY,Eccentricity,ArgumentOfPerigee_deg,ObservedMinAltitude_km,ObservedMaxAltitude_km,ObservedVariation_km,MaxDeviationFromNominal_km,WithinMaintenanceHalfBand
0,1,6.45652244496063e-20,0.0010544301343793,0.0010544301343793,90,630.477776341339,630.747440881512,0.269664540173494,0.747440881512148,1
1,1,-1.4747321803006e-16,0.00105443013437931,0.00105443013437931,90.000000000008,630.477776341337,630.747440881512,0.269664540175313,0.747440881512148,1
2,1,-2.9453840678906e-16,0.00105443013437932,0.00105443013437932,90.000000000016,630.477776341337,630.747440881514,0.269664540177132,0.747440881513967,1
3,1,-4.40659714132683e-16,0.00105443013437934,0.00105443013437934,90.000000000024,630.477776341335,630.747440881515,0.269664540179974,0.747440881514876,1
4,1,-5.85368877915097e-16,0.00105443013437937,0.00105443013437937,90.0000000000318,630.477776341334,630.747440881515,0.269664540180884,0.747440881514876,1
5,1,-7.28202161363167e-16,0.00105443013437941,0.00105443013437941,90.0000000000396,630.477776341334,630.747440881517,0.269664540182816,0.747440881516809,1
6,1,-8.68701839173039e-16,0.00105443013437945,0.00105443013437945,90.0000000000472,630.477776341332,630.747440881517,0.269664540184635,0.747440881516809,1
7,1,-1.0064176643423e-15,0.0010544301343795,0.0010544301343795,90.0000000000547,630.477776341332,630.747440881519,0.269664540186454,0.747440881518628,1
8,1,-1.1409083110371e-15,0.00105443013437956,0.00105443013437956,90.000000000062,630.47777634133,630.747440881519,0.269664540188387,0.747440881518628,1
9,1,-1.27174278887032e-15,0.00105443013437963,0.00105443013437963,90.0000000000691,630.477776341329,630.747440881519,0.269664540189297,0.747440881518628,1
10,1,-1.39850182405876e-15,0.00105443013437971,0.00105443013437971,90.000000000076,630.477776341329,630.74744088152,0.269664540190206,0.747440881519537,1
11,1,-1.52077920303302e-15,0.00105443013437979,0.00105443013437979,90.0000000000826,630.477776341328,630.74744088152,0.269664540192025,0.747440881519537,1
12,1,-1.63818307419454e-15,0.00105443013437988,0.00105443013437988,90.000000000089,630.477776341326,630.74744088152,0.269664540193958,0.747440881519537,1
13,1,-1.7503372036481e-15,0.00105443013437998,0.00105443013437998,90.0000000000951,630.477776341326,630.747440881521,0.26966454019589,0.74744088152147,1
14,1,-1.85688218088555e-15,0.00105443013438008,0.00105443013438008,90.0000000001009,630.477776341325,630.747440881521,0.2696645401968,0.74744088152147,1
15,1,-1.95747657055722e-15,0.00105443013438019,0.00105443013438019,90.0000000001064,630.477776341323,630.747440881521,0.269664540198619,0.74744088152147,1
16,1,-2.05179800663982e-15,0.0010544301343803,0.0010544301343803,90.0000000001115,630.477776341323,630.747440881521,0.269664540198619,0.74744088152147,1
17,1,-2.13954422549459e-15,0.00105443013438042,0.00105443013438042,90.0000000001163,630.477776341321,630.747440881521,0.269664540200552,0.74744088152147,1
18,1,-2.22043403450509e-15,0.00105443013438054,0.00105443013438054,90.0000000001207,630.477776341321,630.747440881521,0.269664540200552,0.74744088152147,1
19,1,-2.29420821319054e-15,0.00105443013438067,0.00105443013438067,90.0000000001247,630.47777634132,630.747440881521,0.269664540201461,0.74744088152147,1
