Altura_km,Dmin_Refractivo,Dmin_Korsch,Dmin_Cassegrain,Dmin_TMA
400,48,NaN,NaN,NaN
410,49,NaN,NaN,NaN
420,50,NaN,NaN,NaN
430,51,NaN,NaN,NaN
440,52,NaN,NaN,NaN
450,53,NaN,NaN,NaN
460,55,NaN,NaN,NaN
470,56,NaN,NaN,NaN
480,57,NaN,NaN,NaN
490,58,NaN,NaN,NaN
500,59,NaN,NaN,NaN
510,60,NaN,NaN,NaN
520,62,NaN,NaN,NaN
530,63,NaN,NaN,NaN
540,64,NaN,NaN,NaN
550,65,NaN,NaN,NaN
560,66,NaN,NaN,NaN
570,67,NaN,NaN,NaN
580,69,NaN,NaN,NaN
590,70,NaN,NaN,NaN
600,71,NaN,NaN,NaN
610,72,NaN,NaN,NaN
620,73,NaN,NaN,NaN
630,75,NaN,NaN,NaN
640,76,NaN,NaN,NaN
650,77,NaN,NaN,NaN
660,78,NaN,NaN,NaN
670,79,NaN,NaN,NaN
680,80,NaN,NaN,NaN
690,82,NaN,NaN,NaN
700,83,NaN,NaN,NaN
710,84,NaN,NaN,NaN
720,85,NaN,NaN,NaN
730,86,NaN,NaN,NaN
740,87,NaN,NaN,NaN
750,89,NaN,NaN,NaN
760,90,NaN,NaN,NaN
770,NaN,NaN,NaN,NaN
780,NaN,NaN,NaN,NaN
790,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN
810,NaN,NaN,NaN,NaN
820,NaN,NaN,NaN,NaN
830,NaN,NaN,NaN,NaN
840,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN
860,NaN,NaN,NaN,NaN
870,NaN,NaN,NaN,NaN
880,NaN,NaN,NaN,NaN
890,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN
910,NaN,NaN,NaN,NaN
920,NaN,NaN,NaN,NaN
930,NaN,NaN,NaN,NaN
940,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN
960,NaN,NaN,NaN,NaN
970,NaN,NaN,NaN,NaN
980,NaN,NaN,NaN,NaN
990,NaN,NaN,NaN,NaN
1000,NaN,NaN,NaN,NaN
1010,NaN,NaN,NaN,NaN
1020,NaN,NaN,NaN,NaN
1030,NaN,NaN,NaN,NaN
1040,NaN,NaN,NaN,NaN
1050,NaN,NaN,NaN,NaN
1060,NaN,NaN,NaN,NaN
1070,NaN,NaN,NaN,NaN
1080,NaN,NaN,NaN,NaN
1090,NaN,NaN,NaN,NaN
1100,NaN,NaN,NaN,NaN
1110,NaN,NaN,NaN,NaN
1120,NaN,NaN,NaN,NaN
1130,NaN,NaN,NaN,NaN
1140,NaN,NaN,NaN,NaN
1150,NaN,NaN,NaN,NaN
1160,NaN,NaN,NaN,NaN
1170,NaN,NaN,NaN,NaN
1180,NaN,NaN,NaN,NaN
1190,NaN,NaN,NaN,NaN
1200,NaN,NaN,NaN,NaN
1210,NaN,NaN,NaN,NaN
1220,NaN,NaN,NaN,NaN
1230,NaN,229,330,NaN
1240,NaN,231,333,NaN
1250,NaN,232,336,NaN
1260,NaN,234,338,NaN
1270,NaN,236,341,NaN
1280,NaN,238,344,NaN
1290,NaN,240,346,NaN
1300,NaN,242,349,NaN
1310,NaN,244,352,NaN
1320,NaN,245,354,NaN
1330,NaN,247,357,NaN
1340,NaN,249,360,NaN
1350,NaN,251,362,NaN
1360,NaN,253,365,NaN
1370,NaN,255,368,NaN
1380,NaN,257,370,NaN
1390,NaN,258,373,NaN
1400,NaN,260,376,NaN
