Altura (km)	Dmin Refractivo (mm)	Dmin Korsch (mm)	Dmin Cassegrain (mm)	Dmin TMA (mm)
400.0	48.0	NaN	NaN	NaN
410.0	49.0	NaN	NaN	NaN
420.0	50.0	NaN	NaN	NaN
430.0	51.0	NaN	NaN	NaN
440.0	52.0	NaN	NaN	NaN
450.0	53.0	NaN	NaN	NaN
460.0	55.0	NaN	NaN	NaN
470.0	56.0	NaN	NaN	NaN
480.0	57.0	NaN	NaN	NaN
490.0	58.0	NaN	NaN	NaN
500.0	59.0	NaN	NaN	NaN
510.0	60.0	NaN	NaN	NaN
520.0	62.0	NaN	NaN	NaN
530.0	63.0	NaN	NaN	NaN
540.0	64.0	NaN	NaN	NaN
550.0	65.0	NaN	NaN	NaN
560.0	66.0	NaN	NaN	NaN
570.0	67.0	NaN	NaN	NaN
580.0	69.0	NaN	NaN	NaN
590.0	70.0	NaN	NaN	NaN
600.0	71.0	NaN	NaN	NaN
610.0	72.0	NaN	NaN	NaN
620.0	73.0	NaN	NaN	NaN
630.0	75.0	NaN	NaN	NaN
640.0	76.0	NaN	NaN	NaN
650.0	77.0	NaN	NaN	NaN
660.0	78.0	NaN	NaN	NaN
670.0	79.0	NaN	NaN	NaN
680.0	80.0	NaN	NaN	NaN
690.0	82.0	NaN	NaN	NaN
700.0	83.0	NaN	NaN	NaN
710.0	84.0	NaN	NaN	NaN
720.0	85.0	NaN	NaN	NaN
730.0	86.0	NaN	NaN	NaN
740.0	87.0	NaN	NaN	NaN
750.0	89.0	NaN	NaN	NaN
760.0	90.0	NaN	NaN	NaN
770.0	NaN	NaN	NaN	NaN
780.0	NaN	NaN	NaN	NaN
790.0	NaN	NaN	NaN	NaN
800.0	NaN	NaN	NaN	NaN
810.0	NaN	NaN	NaN	NaN
820.0	NaN	NaN	NaN	NaN
830.0	NaN	NaN	NaN	NaN
840.0	NaN	NaN	NaN	NaN
850.0	NaN	NaN	NaN	NaN
860.0	NaN	NaN	NaN	NaN
870.0	NaN	NaN	NaN	NaN
880.0	NaN	NaN	NaN	NaN
890.0	NaN	NaN	NaN	NaN
900.0	NaN	NaN	NaN	NaN
910.0	NaN	NaN	NaN	NaN
920.0	NaN	NaN	NaN	NaN
930.0	NaN	NaN	NaN	NaN
940.0	NaN	NaN	NaN	NaN
950.0	NaN	NaN	NaN	NaN
960.0	NaN	NaN	NaN	NaN
970.0	NaN	NaN	NaN	NaN
980.0	NaN	NaN	NaN	NaN
990.0	NaN	NaN	NaN	NaN
1000.0	NaN	NaN	NaN	NaN
1010.0	NaN	NaN	NaN	NaN
1020.0	NaN	NaN	NaN	NaN
1030.0	NaN	NaN	NaN	NaN
1040.0	NaN	NaN	NaN	NaN
1050.0	NaN	NaN	NaN	NaN
1060.0	NaN	NaN	NaN	NaN
1070.0	NaN	NaN	NaN	NaN
1080.0	NaN	NaN	NaN	NaN
1090.0	NaN	NaN	NaN	NaN
1100.0	NaN	NaN	NaN	NaN
1110.0	NaN	NaN	NaN	NaN
1120.0	NaN	NaN	NaN	NaN
1130.0	NaN	NaN	NaN	NaN
1140.0	NaN	NaN	NaN	NaN
1150.0	NaN	NaN	NaN	NaN
1160.0	NaN	NaN	NaN	NaN
1170.0	NaN	NaN	NaN	NaN
1180.0	NaN	NaN	NaN	NaN
1190.0	NaN	NaN	NaN	NaN
1200.0	NaN	NaN	NaN	NaN
1210.0	NaN	NaN	NaN	NaN
1220.0	NaN	NaN	NaN	NaN
1230.0	NaN	229.0	330.0	NaN
1240.0	NaN	231.0	333.0	NaN
1250.0	NaN	232.0	336.0	NaN
1260.0	NaN	234.0	338.0	NaN
1270.0	NaN	236.0	341.0	NaN
1280.0	NaN	238.0	344.0	NaN
1290.0	NaN	240.0	346.0	NaN
1300.0	NaN	242.0	349.0	NaN
1310.0	NaN	244.0	352.0	NaN
1320.0	NaN	245.0	354.0	NaN
1330.0	NaN	247.0	357.0	NaN
1340.0	NaN	249.0	360.0	NaN
1350.0	NaN	251.0	362.0	NaN
1360.0	NaN	253.0	365.0	NaN
1370.0	NaN	255.0	368.0	NaN
1380.0	NaN	257.0	370.0	NaN
1390.0	NaN	258.0	373.0	NaN
1400.0	NaN	260.0	376.0	NaN
