Altura_km,Diametro_pupila,Longitud_media,Sup_media,Peso_medio,Volumen_medio,Potencia_media,Masa_seca
1230,330,1.0725,1.2115125,182.380275,1.4307418125,193.6105875,1094.28165
1240,333,1.08225,1.233640125,187.399637775,1.4701178480625,198.9390243375,1124.39782665
1250,336,1.092,1.255968,192.5102592,1.510209792,204.3643392,1155.0615552
1260,338,1.0985,1.2709645,195.9684454,1.5373386665,208.0354679,1175.8106724
1270,341,1.10825,1.293626125,201.232991575,1.5786381235625,213.6241856375,1207.39794945
1280,344,1.118,1.316488,206.5909888,1.620670688,219.3121088,1239.5459328
1290,346,1.1245,1.3318405,210.2153102,1.6491028645,223.1596027,1261.2918612
1300,349,1.13425,1.355036125,215.730886175,1.6923716070625,229.0148077375,1294.38531705
1310,352,1.144,1.378432,221.3421056,1.736390656,234.9715456,1328.0526336
1320,354,1.1505,1.3941405,225.1364598,1.7661567105,238.9995423,1350.8187588
1330,357,1.16025,1.417870125,230.908911975,1.8114406025625,245.1274410375,1385.45347185
1340,360,1.17,1.4418,236.7792,1.857492,251.3592,1420.6752
1350,362,1.1765,1.4578645,240.7474846,1.8886225085,255.5718371,1444.4849076
1360,365,1.18625,1.482128125,246.782659375,1.9359674140625,261.9786359375,1480.69595625
1370,368,1.196,1.506592,252.9178624,1.984097024,268.4916224,1517.5071744
1380,370,1.2025,1.5230125,257.063975,2.0166225625,272.8930375,1542.38385
1390,373,1.21225,1.547810125,263.367718775,2.0660743455625,279.5849428375,1580.20631265
1400,376,1.222,1.572808,269.7736832,2.116328032,286.3853632,1618.6420992
