Altura_km,Diametro_pupila,Longitud_media,Sup_media,Peso_medio,Volumen_medio,Potencia_media,Masa_seca,Masa_combustible,Masa_total,Num_impulsos,DeltaV_total
400,48,0.156,0.025632,0.5612544,0.004402944,0.5958144,3.3675264,0.812961327839284,4.18048772783928,103,466.550191710306
410,49,0.15925,0.026711125,0.597068675,0.0046839008125,0.6338339875,3.58241205,0.671416311090663,4.25382836109066,80,370.61554805754
420,50,0.1625,0.0278125,0.634375,0.0049765625,0.6734375,3.80625,0.583665589176814,4.38991558917682,65,307.79563783678
430,51,0.16575,0.028936125,0.673203825,0.0052811679375,0.7146572625,4.03922295,0.499507168383075,4.53873011838308,52,251.549245208833
440,52,0.169,0.030082,0.7135856,0.005597956,0.7575256,4.2815136,0.432122200207196,4.71363580020719,42,207.446432849336
450,53,0.17225,0.031250125,0.755550775,0.0059271655625,0.8020748375,4.53330465,0.374786711554295,4.90809136155429,34,171.375839677899
460,55,0.17875,0.033653125,0.844353125,0.0066238046875,0.8963453125,5.06611875,0.336677284291707,5.40279603429171,27,138.814646830365
470,56,0.182,0.034888,0.8912512,0.006991712,0.9461312,5.3475072,0.293600894375649,5.64110809437565,22,115.316415578493
480,57,0.18525,0.036145125,0.939854475,0.0073729963125,0.9977272875,5.63912685,0.256994798254537,5.89612164825454,18,96.1485194072084
490,58,0.1885,0.0374245,0.9901934,0.0077678965,1.0511659,5.9411604,0.213515811874091,6.15467621187409,14,76.1750233880794
500,59,0.19175,0.038726125,1.042298425,0.0081766514375,1.1064793625,6.25379055,0.195708272942458,6.44949882294246,12,66.4814845154324
510,60,0.195,0.04005,1.0962,0.0085995,1.1637,6.5772,0.174167600948783,6.75136760094878,10,56.387386199558
520,62,0.2015,0.0427645,1.2095146,0.0094884335,1.2839921,7.2570876,0.156032594977033,7.41312019497703,8,45.8953615296778
530,63,0.20475,0.044155125,1.268988525,0.0099549961875,1.3471282125,7.61393115,0.124555094022746,7.73848624402275,6,35.0080246115431
540,64,0.208,0.045568,1.3303808,0.010436608,1.4123008,7.9822848,0.110495133092527,8.09277993309253,5,29.659963407903
550,65,0.21125,0.047003125,1.393721875,0.0109335078125,1.4795421875,8.36233125,0.0939962896567571,8.45632753965676,4,24.1155529763018
560,66,0.2145,0.0484605,1.4590422,0.0114459345,1.5488847,8.7542532,0.17572280595589,8.92997600595589,7,42.8775182814752
570,67,0.21775,0.049940125,1.526372225,0.0119741269375,1.6203606625,9.15823335,0.186743638048179,9.34497698804818,7,43.5498664714651
580,69,0.22425,0.052966125,1.667183175,0.0130787645625,1.7698422375,10.00309905,0.147522320072268,10.1506213700723,5,31.5851986810958
590,70,0.2275,0.0545125,1.740725,0.0136556875,1.8479125,10.44435,0.124908731142951,10.569258731143,4,25.6490109125698
600,71,0.23075,0.056081125,1.816398325,0.0142493316875,1.9282455125,10.89838995,0.132277361816013,11.030667311816,4,26.0282028379079
610,72,0.234,0.057672,1.8942336,0.014859936,2.0108736,11.3654016,0.0348292754795161,11.4002308754795,1,6.6014359031451
620,73,0.23725,0.059285125,1.974261275,0.0154877393125,2.0958290875,11.84556765,0.0368183052547203,11.8823859552547,1,6.69541051733449
630,75,0.24375,0.062578125,2.141015625,0.0167958984375,2.2728515625,12.84609375,0.040486994351579,12.8865807443516,1,6.78897674560631
640,76,0.247,0.064258,2.2278032,0.017476732,2.3649832,13.3668192,0,13.3668192,0,0
650,77,0.25025,0.065960125,2.316904975,0.0181757200625,2.4595715375,13.90142985,0,13.90142985,0,0
660,78,0.2535,0.0676845,2.4083514,0.0188931015,2.5566489,14.4501084,0.0474121354576139,14.4975205354576,1,7.0672468336561
670,79,0.25675,0.069431125,2.502172925,0.0196291151875,2.6562476125,15.01303755,0.0499011493213596,15.0629386993214,1,7.15920116549478
680,80,0.26,0.0712,2.5984,0.020384,2.7584,15.5904,0,15.5904,0,0
690,82,0.2665,0.0748045,2.7981926,0.0219513385,2.9704951,16.7891556,0,16.7891556,0,0
700,83,0.26975,0.076640125,2.901819025,0.0227642699375,3.0805024625,17.41091415,0,17.41091415,0,0
710,84,0.273,0.078498,3.0079728,0.023597028,3.1931928,18.0478368,0,18.0478368,0,0
720,85,0.27625,0.080378125,3.116684375,0.0244498515625,3.3085984375,18.70010625,0,18.70010625,0,0
730,86,0.2795,0.0822805,3.2279842,0.0253229795,3.4267517,19.3679052,0,19.3679052,0,0
740,87,0.28275,0.084205125,3.341902725,0.0262166506875,3.5476849125,20.05141635,0,20.05141635,0,0
750,89,0.28925,0.088121125,3.577717675,0.0280665783125,3.7980204875,21.46630605,0,21.46630605,0,0
760,90,0.2925,0.0901125,3.699675,0.0290233125,3.9274875,22.19805,0,22.19805,0,0
