Altura_km	Dmin_Refractivo_mm	Dmin_Korsch_mm	Dmin_Cassegrain_mm	Dmin_TMA_mm
200.0	NaN	NaN	NaN	NaN
210.0	NaN	NaN	NaN	NaN
220.0	NaN	NaN	NaN	NaN
230.0	NaN	NaN	NaN	NaN
240.0	NaN	NaN	NaN	NaN
250.0	NaN	NaN	NaN	NaN
260.0	NaN	NaN	NaN	NaN
270.0	NaN	NaN	NaN	NaN
280.0	NaN	NaN	NaN	NaN
290.0	NaN	NaN	NaN	NaN
300.0	NaN	NaN	NaN	NaN
310.0	NaN	NaN	NaN	NaN
320.0	NaN	NaN	NaN	NaN
330.0	NaN	NaN	NaN	NaN
340.0	NaN	NaN	NaN	NaN
350.0	NaN	NaN	NaN	NaN
360.0	NaN	NaN	NaN	NaN
370.0	NaN	NaN	NaN	NaN
380.0	NaN	NaN	NaN	NaN
390.0	NaN	NaN	NaN	NaN
400.0	NaN	NaN	NaN	NaN
410.0	NaN	NaN	NaN	NaN
420.0	NaN	NaN	NaN	NaN
430.0	NaN	NaN	NaN	NaN
440.0	NaN	NaN	NaN	NaN
450.0	NaN	NaN	NaN	NaN
460.0	NaN	NaN	NaN	NaN
470.0	NaN	NaN	NaN	NaN
480.0	NaN	NaN	NaN	NaN
490.0	NaN	NaN	NaN	NaN
500.0	NaN	NaN	NaN	NaN
510.0	NaN	NaN	NaN	NaN
520.0	NaN	NaN	NaN	NaN
530.0	NaN	NaN	NaN	NaN
540.0	NaN	NaN	NaN	NaN
550.0	48.0	NaN	NaN	NaN
560.0	NaN	NaN	NaN	NaN
570.0	NaN	NaN	NaN	NaN
580.0	NaN	NaN	NaN	NaN
590.0	NaN	NaN	NaN	NaN
600.0	NaN	NaN	NaN	NaN
610.0	NaN	NaN	NaN	NaN
620.0	NaN	NaN	NaN	NaN
630.0	NaN	NaN	NaN	NaN
640.0	NaN	NaN	NaN	NaN
650.0	NaN	NaN	NaN	NaN
660.0	NaN	NaN	NaN	NaN
670.0	58.0	NaN	NaN	NaN
680.0	59.0	NaN	NaN	NaN
690.0	60.0	NaN	NaN	NaN
700.0	61.0	NaN	NaN	NaN
710.0	62.0	NaN	NaN	194.0
720.0	NaN	NaN	NaN	NaN
730.0	63.0	NaN	NaN	200.0
740.0	64.0	NaN	NaN	NaN
750.0	65.0	NaN	NaN	NaN
760.0	NaN	NaN	NaN	NaN
770.0	67.0	NaN	NaN	211.0
780.0	NaN	NaN	NaN	NaN
790.0	68.0	NaN	NaN	216.0
800.0	NaN	NaN	NaN	NaN
810.0	NaN	NaN	NaN	NaN
820.0	71.0	NaN	NaN	225.0
830.0	72.0	NaN	NaN	NaN
840.0	73.0	NaN	NaN	230.0
850.0	NaN	NaN	NaN	NaN
860.0	74.0	NaN	NaN	NaN
870.0	75.0	NaN	NaN	NaN
880.0	76.0	NaN	NaN	241.0
890.0	NaN	NaN	NaN	NaN
900.0	NaN	NaN	NaN	NaN
910.0	79.0	NaN	NaN	249.0
920.0	NaN	NaN	NaN	NaN
930.0	80.0	NaN	NaN	NaN
940.0	81.0	NaN	NaN	NaN
950.0	82.0	NaN	NaN	260.0
960.0	83.0	NaN	NaN	263.0
970.0	84.0	NaN	NaN	265.0
980.0	NaN	NaN	NaN	NaN
990.0	86.0	NaN	NaN	271.0
1000.0	86.0	NaN	NaN	274.0
