Altura_km,Diametro_pupila_mm,Longitud_media,Sup_media,Peso_medio_instrumento_kg,Volumen_medio,Potencia_media_W,Masa_seca_kg,Masa_combustible_kg,Masa_total_kg,Num_impulsos,DeltaV_total_ms
550,48,0.156,0.025632,0.5612544,0.004402944,0.5958144,2.2450176,0.069982343153442,2.31499994315344,10,60.2888824407546
670,58,0.1885,0.0374245,0.9901934,0.0077678965,1.0511659,3.9607736,0.0290112100619121,3.98978481006191,2,14.3184023309896
680,59,0.19175,0.038726125,1.042298425,0.0081766514375,1.1064793625,4.1691937,0.0309296627923036,4.2001233627923,2,14.5015157278631
690,60,0.195,0.04005,1.0962,0.0085995,1.1637,4.3848,0.0164417438431357,4.40124174384314,1,7.34191903720603
700,61,0.19825,0.041396125,1.151928575,0.0090366810625,1.2228601375,4.6077143,0.0174915788903319,4.62520587889033,1,7.43268677971719
710,62,0.2015,0.0427645,1.2095146,0.0094884335,1.2839921,4.8380584,0,4.8380584,0,0
730,63,0.20475,0.044155125,1.268988525,0.0099549961875,1.3471282125,5.0759541,0,5.0759541,0,0
740,64,0.208,0.045568,1.3303808,0.010436608,1.4123008,5.3215232,0,5.3215232,0,0
750,65,0.21125,0.047003125,1.393721875,0.0109335078125,1.4795421875,5.5748875,0,5.5748875,0,0
770,67,0.21775,0.049940125,1.526372225,0.0119741269375,1.6203606625,6.1054889,0,6.1054889,0,0
790,68,0.221,0.051442,1.5957424,0.012518324,1.6940024,6.3829696,0,6.3829696,0,0
820,71,0.23075,0.056081125,1.816398325,0.0142493316875,1.9282455125,7.2655933,0,7.2655933,0,0
830,72,0.234,0.057672,1.8942336,0.014859936,2.0108736,7.5769344,0,7.5769344,0,0
840,73,0.23725,0.059285125,1.974261275,0.0154877393125,2.0958290875,7.8970451,0,7.8970451,0,0
860,74,0.2405,0.0609205,2.0565118,0.0161329805,2.1831443,8.2260472,0,8.2260472,0,0
870,75,0.24375,0.062578125,2.141015625,0.0167958984375,2.2728515625,8.5640625,0,8.5640625,0,0
880,76,0.247,0.064258,2.2278032,0.017476732,2.3649832,8.9112128,0,8.9112128,0,0
910,79,0.25675,0.069431125,2.502172925,0.0196291151875,2.6562476125,10.0086917,0,10.0086917,0,0
930,80,0.26,0.0712,2.5984,0.020384,2.7584,10.3936,0,10.3936,0,0
940,81,0.26325,0.072991125,2.697063075,0.0211579948125,2.8631383875,10.7882523,0,10.7882523,0,0
950,82,0.2665,0.0748045,2.7981926,0.0219513385,2.9704951,11.1927704,0,11.1927704,0,0
960,83,0.26975,0.076640125,2.901819025,0.0227642699375,3.0805024625,11.6072761,0,11.6072761,0,0
970,84,0.273,0.078498,3.0079728,0.023597028,3.1931928,12.0318912,0,12.0318912,0,0
990,86,0.2795,0.0822805,3.2279842,0.0253229795,3.4267517,12.9119368,0,12.9119368,0,0
1000,86,0.2795,0.0822805,3.2279842,0.0253229795,3.4267517,12.9119368,0,12.9119368,0,0
