Altura_km,Diametro_pupila_mm,Longitud_media,Sup_media,Peso_medio_instrumento_kg,Volumen_medio,Potencia_media_W,Masa_seca_kg,Masa_combustible_kg,Masa_total_kg,Num_impulsos,DeltaV_total_ms
710,194,0.6305,0.4187005,37.0545238,0.2906863505,39.3362063,148.2180952,0,148.2180952,0,0
730,200,0.65,0.445,40.6,0.3185,43.1,162.4,0,162.4,0,0
770,211,0.68575,0.495296125,47.674199825,0.3739958779375,50.6098032625,190.6967993,0,190.6967993,0,0
790,216,0.702,0.519048,51.1443072,0.401218272,54.2935872,204.5772288,0,204.5772288,0,0
820,225,0.73125,0.563203125,57.807421875,0.4534892578125,61.3669921875,231.2296875,0,231.2296875,0,0
840,230,0.7475,0.5885125,61.747525,0.4843986875,65.5497125,246.9901,0,246.9901,0,0
880,241,0.78325,0.646151125,71.037419075,0.5572763048125,75.4116443875,284.1496763,0,284.1496763,0,0
910,249,0.80925,0.689761125,78.349113675,0.6146352883125,83.1735664875,313.3964547,0,313.3964547,0,0
950,260,0.845,0.75205,89.1982,0.6997445,94.6907,356.7928,0,356.7928,0,0
960,263,0.85475,0.769505125,92.321593525,0.7242469836875,98.0064207125,369.2863741,0,369.2863741,0,0
970,265,0.86125,0.781253125,94.443846875,0.7408956953125,100.2593546875,377.7753875,0,377.7753875,0,0
990,271,0.88075,0.817031125,101.005243325,0.7923687191875,107.2247780125,404.0209733,0,404.0209733,0,0
1000,274,0.8905,0.8352205,104.3969318,0.8189759305,110.8253143,417.5877272,0,417.5877272,0,0
