Altura_km,Dmin_Refractivo_mm,Dmin_Korsch_mm,Dmin_Cassegrain_mm,Dmin_TMA_mm
200,NaN,NaN,NaN,NaN
210,NaN,NaN,NaN,NaN
220,NaN,NaN,NaN,NaN
230,NaN,NaN,NaN,NaN
240,NaN,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN
260,NaN,NaN,NaN,NaN
270,NaN,NaN,NaN,NaN
280,NaN,NaN,NaN,NaN
290,NaN,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN
310,NaN,NaN,NaN,NaN
320,NaN,NaN,NaN,NaN
330,NaN,NaN,NaN,NaN
340,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN
360,NaN,NaN,NaN,NaN
370,NaN,NaN,NaN,NaN
380,NaN,NaN,NaN,NaN
390,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN
410,NaN,NaN,NaN,NaN
420,NaN,NaN,NaN,NaN
430,NaN,NaN,NaN,NaN
440,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN
460,NaN,NaN,NaN,NaN
470,NaN,NaN,NaN,NaN
480,NaN,NaN,NaN,NaN
490,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN
510,NaN,NaN,NaN,NaN
520,28,NaN,NaN,NaN
530,NaN,NaN,NaN,NaN
540,30,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN
560,NaN,NaN,NaN,NaN
570,NaN,NaN,NaN,NaN
580,NaN,NaN,NaN,NaN
590,32,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN
610,NaN,NaN,NaN,NaN
620,NaN,NaN,NaN,NaN
630,34,NaN,NaN,NaN
640,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN
660,NaN,NaN,NaN,NaN
670,NaN,NaN,NaN,NaN
680,37,NaN,NaN,NaN
690,38,NaN,NaN,NaN
700,38,NaN,NaN,120
710,NaN,NaN,NaN,NaN
720,NaN,NaN,NaN,NaN
730,NaN,NaN,NaN,NaN
740,40,NaN,NaN,NaN
750,41,NaN,NaN,129
760,41,NaN,NaN,NaN
770,42,NaN,NaN,132
780,42,NaN,NaN,NaN
790,43,NaN,NaN,135
800,NaN,NaN,NaN,NaN
810,NaN,NaN,NaN,NaN
820,45,NaN,NaN,141
830,NaN,NaN,NaN,NaN
840,NaN,NaN,NaN,NaN
850,46,NaN,NaN,NaN
860,47,NaN,NaN,147
870,NaN,NaN,NaN,NaN
880,NaN,NaN,NaN,NaN
890,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN
910,NaN,NaN,NaN,NaN
920,50,NaN,NaN,158
930,50,NaN,NaN,159
940,51,NaN,NaN,161
950,52,NaN,NaN,163
960,52,NaN,NaN,164
970,53,NaN,NaN,166
980,53,NaN,NaN,NaN
990,54,NaN,NaN,170
1000,54,NaN,NaN,171
